provincia;poblacion;codigopostalid;lat;lon
Araba/Álava;Alegría-Dulantzi;00240;-2.712437310;42.939811580
Araba/Álava;Alegría-Dulantzi;01193;-2.712437310;42.939811580
Araba/Álava;Amurrio;01450;-3.000073260;43.054277760
Araba/Álava;Amurrio;01468;-3.000073260;43.054277760
Araba/Álava;Amurrio;01470;-3.000073260;43.054277760
Araba/Álava;Aramaio;01160;-2.565400370;43.051196530
Araba/Álava;Aramaio;01165;-2.565400370;43.051196530
Araba/Álava;Aramaio;01169;-2.565400370;43.051196530
Araba/Álava;Artziniega;01474;-3.127917180;43.120843580
Araba/Álava;Artziniega;01478;-3.127917180;43.120843580
Araba/Álava;Armiñón;01211;-2.871834750;42.723261990
Araba/Álava;Armiñón;01220;-2.871834750;42.723261990
Araba/Álava;Arratzua-Ubarrundia;01510;-2.638788160;42.891161710
Araba/Álava;Arratzua-Ubarrundia;01520;-2.638788160;42.891161710
Araba/Álava;Asparrena;01208;-2.316707540;42.889687680
Araba/Álava;Asparrena;01250;-2.316707540;42.889687680
Araba/Álava;Asparrena;01260;-2.316707540;42.889687680
Araba/Álava;Ayala/Aiara;01408;-3.043067460;43.077682830
Araba/Álava;Ayala/Aiara;01470;-3.043067460;43.077682830
Araba/Álava;Ayala/Aiara;01476;-3.043067460;43.077682830
Araba/Álava;Ayala/Aiara;01477;-3.043067460;43.077682830
Araba/Álava;Ayala/Aiara;01478;-3.043067460;43.077682830
Araba/Álava;Ayala/Aiara;01479;-3.043067460;43.077682830
Araba/Álava;"Baños de Ebro/Mañueta";01307;-2.678635830;42.529256020
Araba/Álava;Barrundia;01206;-2.494074520;42.915375380
Araba/Álava;Barrundia;01208;-2.494074520;42.915375380
Araba/Álava;Berantevilla;01211;-2.859714140;42.682271910
Araba/Álava;Berantevilla;01212;-2.859714140;42.682271910
Araba/Álava;Berantevilla;01220;-2.859714140;42.682271910
Araba/Álava;Bernedo;01118;-2.498254390;42.626769890
Araba/Álava;Bernedo;01128;-2.498254390;42.626769890
Araba/Álava;Bernedo;01194;-2.498254390;42.626769890
Araba/Álava;Bernedo;01216;-2.498254390;42.626769890
Araba/Álava;Campezo/Kanpezu;01110;-2.352076930;42.669712090
Araba/Álava;Campezo/Kanpezu;01117;-2.352076930;42.669712090
Araba/Álava;Campezo/Kanpezu;01128;-2.352076930;42.669712090
Araba/Álava;Zigoitia;01138;-2.730330020;42.962106090
Araba/Álava;Zigoitia;01196;-2.730330020;42.962106090
Araba/Álava;Kripan;01308;-2.516216360;42.590824390
Araba/Álava;Kuartango;01430;-2.884382430;42.870064110
Araba/Álava;Kuartango;01439;-2.884382430;42.870064110
Araba/Álava;Elburgo/Burgelu;01192;-2.546018150;42.849405750
Araba/Álava;Elburgo/Burgelu;01193;-2.546018150;42.849405750
Araba/Álava;Elciego;01340;-2.617238720;42.514207380
Araba/Álava;Elvillar/Bilar;01309;-2.544412670;42.568425770
Araba/Álava;Iruraiz-Gauna;01193;-2.473965490;42.831085710
Araba/Álava;Iruraiz-Gauna;01206;-2.473965490;42.831085710
Araba/Álava;Iruraiz-Gauna;01207;-2.473965490;42.831085710
Araba/Álava;Labastida/Bastida;01012;-2.792887050;42.590761050
Araba/Álava;Labastida/Bastida;01212;-2.792887050;42.590761050
Araba/Álava;Labastida/Bastida;01330;-2.792887050;42.590761050
Araba/Álava;Lagrán;01118;-2.584233770;42.626214640
Araba/Álava;Lagrán;01211;-2.584233770;42.626214640
Araba/Álava;Laguardia;01300;-2.584116930;42.552366550
Araba/Álava;Laguardia;01308;-2.584116930;42.552366550
Araba/Álava;Laguardia;01309;-2.584116930;42.552366550
Araba/Álava;Laguardia;01321;-2.584116930;42.552366550
Araba/Álava;Lanciego/Lantziego;01308;-2.512781620;42.562441600
Araba/Álava;"Lapuebla de Labarca";01306;-2.572090010;42.494414680
Araba/Álava;Leza;01309;-2.634594280;42.564696870
Araba/Álava;Laudio/Llodio;01400;-2.962564950;43.142518800
Araba/Álava;Arraia-Maeztu;01120;-2.446638720;42.740002170
Araba/Álava;Arraia-Maeztu;01128;-2.446638720;42.740002170
Araba/Álava;Arraia-Maeztu;01129;-2.446638720;42.740002170
Araba/Álava;"Moreda de Álava/Moreda Araba";01322;-2.408417180;42.524791670
Araba/Álava;Navaridas;01309;-2.624795440;42.545059400
Araba/Álava;Okondo;01409;-3.019026823;43.161551300
