city,link,price,title,location,builtArea,usableArea,bedrooms,bathrooms,floor,age,condition,garage,orientation,energyCertificate,communityExpenses,airConditioning,elevator,houseHeating,houseHeatingType,terrace,swimmingPool,swimmingPoolType,houseType,photo,postal_code,lat,lon
madrid,https://www.pisos.com/comprar/piso-casco_historico_de_vallecas28051-35011567322_517145/,260.000,Piso en venta en Avenida de la Gran Vía del Sureste,Casco Histórico de Vallecas (Distrito Villa de Vallecas. Madrid Capital),80.0,60.0,2.0,2.0,3ª,Entre 10 y 20 años,En buen estado,1,Sur,,Más de 100€,Frío y calor,True,True,Gas natural,False,True,Comunitaria,,https://fotos.imghs.net/l/517145/35011567322.517145/517145_35011567322_65_20230605104530184.jpg,28000.0,40.40841191,-3.68760088
madrid,https://www.pisos.com/comprar/piso-el_alcornocal-34199892393_516742/,235.000,Piso en venta en Calle de la Salud,El Alcornocal (Manzanares el Real),160.0,124.0,4.0,2.0,3ª,Entre 30 y 50 años,En buen estado,1,Oeste,,Más de 100€,,False,True,Gas propano,True,True,Comunitaria,,https://fotos.imghs.net/l/516742/34199892393.516742/516742_34199892393_1_20230525180702349.jpg,28410.0,40.72609812,-3.86486485
madrid,https://www.pisos.com/comprar/piso-acacias28005-35049396441_100200/,159.000,"Piso en venta en Calle de las Peñuelas, cerca de Paseo del Doctor Vallejo Nágera",Acacias (Distrito Arganzuela. Madrid Capital),28.0,,1.0,1.0,1ª,,En buen estado,,,,,,False,False,,False,False,,,https://fotos.imghs.net/l/1002/971/1002_548971_99_2023060713065982598.jpeg,28000.0,40.40841191,-3.68760088
madrid,https://www.pisos.com/comprar/piso-la_espinilla_parque_blanco-35005111653_512422/,230.000,Piso en venta en Calle del Perú,La Espinilla-Parque Blanco (Coslada),105.0,96.0,3.0,1.0,4ª,Entre 30 y 50 años,En buen estado,1,,,Más de 100€,,True,True,Gas natural,True,False,,,https://fotos.imghs.net/l/512422/35005111653.512422/512422_35005111653_1_20230608121857007.jpg,28820.0,40.42654912,-3.56749362
madrid,https://www.pisos.com/comprar/casa_pareada-collado_mediano_centro_urbano-35053442476_510261/,337.000,Casa pareada en venta en Calle de La Coruña,Collado Mediano,175.0,175.0,3.0,3.0,,Entre 10 y 20 años,En buen estado,1,Sur,,,,False,True,Gasoil,True,False,,Pareada,https://fotos.imghs.net/l/510261/35053442476.510261/510261_35053442476_11_20230605132257396.jpg,28450.0,40.69436536,-4.02307588
madrid,https://www.pisos.com/comprar/piso-zona_noreste-35044606821_100500/,168.600,Piso en venta en Juncal,Zona Noreste (Torrejón de Ardoz),80.0,,3.0,1.0,1ª,,,,Sur,,,,False,True,Gas natural,True,False,,,https://fotos.imghs.net/l/1005/670/1005_190044121670_1_2023061013064868370.jpg,28850.0,40.4591561,-3.47899019
madrid,https://www.pisos.com/comprar/piso-castilla28036-35013621196_520919/,1.450.000,"Piso en venta en Calle de José Lázaro Galdiano, 1",Castilla (Distrito Chamartín. Madrid Capital),269.0,215.0,5.0,4.0,6ª,Entre 30 y 50 años,A reformar,1,Oeste,,Más de 100€,Frío y calor,True,True,Gas natural,True,False,,,https://fotos.imghs.net/l/520919/35013621196.520919/520919_35013621196_8_20230609131543809.jpg,28000.0,40.40841191,-3.68760088
madrid,https://www.pisos.com/comprar/piso-mostoles_centro28931-35057976026_100500/,165.000,Piso en venta en Teatro,Centro (Móstoles),84.0,79.0,3.0,1.0,1ª,,,,,,,,True,True,Central,True,False,,,https://fotos.imghs.net/l/1005/425/1005_190122373425_1_2023060918064820116.jpg,28635.0,40.32355537,-3.8648888
madrid,https://www.pisos.com/comprar/piso-prado_de_somosaguas-35042783957_280500/,850.000,Piso en venta en Calle Aquilón,Prado de Somosaguas (Pozuelo de Alarcón),206.0,206.0,4.0,3.0,1ª,Entre 30 y 50 años,En buen estado,2,Sureste,,Más de 100€,,True,False,,True,True,Comunitaria,,https://fotos.imghs.net/l/2805/35042783957.280500/2805_35042783957_1_20230608203145358.jpg,28223.0,40.43593987,-3.81581639
madrid,https://www.pisos.com/comprar/piso-centro_palacio28005-35004856187_100900/,260.000,Piso en venta en Calle de la Morería,Palacio (Distrito Centro. Madrid Capital),49.0,41.0,2.0,1.0,1ª,,En buen estado,,Sur,,,,False,False,,True,False,,,https://fotos.imghs.net/l/1009/742/1009_bf38ca42e607da7a69217f5983236742_0_2023060813062323557.com/estatefile/2aeeb2bb0352612e8aa18ecffe5eb7fa,28000.0,40.40841191,-3.68760088
madrid,https://www.pisos.com/comprar/piso-recoletos28001-35091168634_100500/,3.850.000,Piso en venta en Calle del Conde de Aranda,Recoletos (Distrito Salamanca. Madrid Capital),269.0,,4.0,5.0,1ª,,A estrenar,,Sureste,,Más de 100€,Frío,True,True,Gas natural,False,False,,,https://fotos.imghs.net/l/1005/278/1005_3735278_1_2023060912064596022.jpg,28000.0,40.40841191,-3.68760088
madrid,https://www.pisos.com/comprar/piso-universidad_malasana28004-35072754163_100500/,570.000,Piso en venta en Calle del Desengaño,Universidad-Malasaña (Distrito Centro. Madrid Capital),81.0,,2.0,1.0,2ª,,,,Sur,,Entre 60 y 80€,,True,True,Eléctrica,False,False,,,https://fotos.imghs.net/l/1005/205/1005_189900038205_1_2023060912065073430.jpg,28000.0,40.40841191,-3.68760088
madrid,https://www.pisos.com/comprar/piso-puerta_del_angel-35033891207_100200/,205.000,"Piso en venta en Calle de Caramuel, cerca de Calle de Antillón",Puerta del Ángel (Distrito Latina. Madrid Capital),79.0,,3.0,1.0,,,En buen estado,,,,,,False,True,,False,False,,,https://fotos.imghs.net/l/1002/704/1002_372704_1_2023060911060057168.jpeg,28000.0,40.40841191,-3.68760088
madrid,https://www.pisos.com/comprar/piso-villaverde_los_angeles28041-35012439032_100200/,151.000,Piso en venta en Los Ángeles,Los Ángeles (Distrito Villaverde. Madrid Capital),71.0,,3.0,1.0,5ª,,En buen estado,,,,Más de 100€,,True,True,,True,False,,,https://fotos.imghs.net/l/1002/144/1002_549144_1_2023060813065788791.jpeg,28000.0,40.40841191,-3.68760088
madrid,https://www.pisos.com/comprar/casa_adosada-estacion_zona_norte28224-35039994787_100500/,670.000,Casa adosada en venta en Zona Pueblo,Estación-Zona Norte (Pozuelo de Alarcón),167.0,,3.0,4.0,,,,,Este,,,,False,True,Gas natural,True,True,Comunitaria,Adosada,https://fotos.imghs.net/l/1005/893/1005_189904838893_1_2023060912065088883.jpg,28223.0,40.43593987,-3.81581639
madrid,https://www.pisos.com/comprar/piso-campo_real_centro_urbano-35009022107_100500/,85.000,Piso en venta en Campo Real,Campo Real,57.0,43.0,1.0,1.0,,,En buen estado,,,,,,False,False,,False,False,,,https://fotos.imghs.net/l/1005/964/1005_101642964_1_2023060522061458585.jpg,28510.0,40.33920494,-3.38276454
madrid,https://www.pisos.com/comprar/piso-centro_arroyo_la_fuente28944-35035699567_100200/,128.000,Piso en venta en Centro-Arroyo-La Fuente,Centro-Arroyo-La Fuente (Fuenlabrada),64.0,,3.0,,1ª,,En buen estado,,,,Entre 60 y 80€,,False,False,,False,False,,,https://fotos.imghs.net/l/1002/270/1002_549270_1_2023060818060119017.jpeg,28941.0,40.28221895,-3.79085287
madrid,https://www.pisos.com/comprar/piso-hispanoamerica_las_comunidades-35006746176_100200/,149.500,Piso en venta en Hispanoamérica-Las Comunidades,Hispanoamérica-Las Comunidades (Valdemoro),78.0,,2.0,1.0,,,En buen estado,,,,,,False,False,,False,True,,,https://fotos.imghs.net/l/1002/135/1002_549135_1_2023060812065909137.jpeg,28340.0,40.18889948,-3.67881474
madrid,https://www.pisos.com/comprar/piso-recoletos28001-35064271329_524350/,3.850.000,Piso en venta en Recoletos,Recoletos (Distrito Salamanca. Madrid Capital),269.0,206.0,4.0,5.0,1ª,Más de 50 años,A estrenar,,,,,Frío,True,True,Central,False,False,,,https://fotos.imghs.net/l/524350/35064271329.524350/524350_35064271329_1_20230605103549915.jpg,28000.0,40.40841191,-3.68760088
madrid,https://www.pisos.com/comprar/piso-puerta_del_angel-35078475716_100200/,235.000,Piso en venta en Calle de José María del Boto,Puerta del Ángel (Distrito Latina. Madrid Capital),75.0,,2.0,2.0,,,En buen estado,1,,,,,True,False,,False,False,,,https://fotos.imghs.net/l/1002/059/1002_548059_1_2023060521065981561.jpeg,28000.0,40.40841191,-3.68760088
madrid,https://www.pisos.com/comprar/casa_pareada-parquelagos_puente_nuevo-35006992638_510261/,679.000,Casa pareada en venta en Calle del Almendro,Parquelagos-Puente Nuevo (Galapagar),253.0,173.0,3.0,3.0,,Menos de 5 años,A estrenar,2,Sureste,,,Preinstalacion,False,True,Aerotermia,True,True,Comunitaria,Pareada,https://fotos.imghs.net/l/510261/35006992638.510261/510261_35006992638_6_20230608121122354.jpg,28250.0,40.57837609,-4.003986
madrid,https://www.pisos.com/comprar/chalet-pinosol_el_alcor_peralejo-35050276051_525264/,490.000,Chalet en venta en Avenida de los Alcores,Pinosol-El Alcor-Peralejo (El Escorial),277.0,190.0,3.0,3.0,,Entre 20 y 30 años,Reformado,Más de 2,Todas,,,Frío y calor,False,True,Gas natural,True,True,Propia,,https://fotos.imghs.net/l/525264/35050276051.525264/525264_35050276051_1_20230605174301113.jpg,28211.0,40.5849622,-4.12698622
madrid,https://www.pisos.com/comprar/piso-castilla28016-35020438988_524350/,800.000,Piso en venta en Castilla,Castilla (Distrito Chamartín. Madrid Capital),137.0,110.0,3.0,3.0,1ª,Entre 30 y 50 años,A reformar,,Este,,Más de 100€,Frío,False,True,Central,True,False,,,https://fotos.imghs.net/l/524350/35020438988.524350/524350_35020438988_1_20230608160707136.jpg,28000.0,40.40841191,-3.68760088
madrid,https://www.pisos.com/comprar/piso-san_blas_simancas28037-35014774670_100200/,339.000,Piso en venta en Simancas,Simancas (Distrito San Blas. Madrid Capital),89.0,,2.0,2.0,5ª,,En buen estado,1,,,,,False,True,,False,False,,,https://fotos.imghs.net/l/1002/748/1002_532748_1_2023060619060433066.jpeg,28000.0,40.40841191,-3.68760088
madrid,https://www.pisos.com/comprar/piso-el_val_barrio28804-35006042477_996550/,227.300,"Piso en venta en Camino de los Afligidos, 57",El Val (Distrito El Val. Alcalá de Henares),89.0,66.0,2.0,2.0,4ª,Menos de 5 años,A estrenar,2,Noreste,,Entre 80 y 100€,Frío,True,True,Central,True,True,Comunitaria,,https://fotos.imghs.net/l/996550/35006042477.996550/996550_35006042477_1_20230608112907507.jpg,28801.0,40.48033232,-3.36925102
madrid,https://www.pisos.com/comprar/piso-alcorcon_casco_antiguo-35018253247_522799/,140.000,"Piso en venta en Calle Polvoranca, cerca de Calle de San Luis",Casco Antiguo (Alcorcón),60.0,55.0,2.0,1.0,7ª,Entre 20 y 30 años,En buen estado,,,,Entre 80 y 100€,Frío y calor,True,True,Central,False,False,,,https://fotos.imghs.net/l/522799/35018253247.522799/522799_35018253247_5_20230609120333397.jpg,28921.0,40.35156977,-3.82849494
