city,link,price,title,location,builtArea,usableArea,bedrooms,bathrooms,floor,age,condition,garage,orientation,energyCertificate,communityExpenses,airConditioning,elevator,houseHeating,houseHeatingType,terrace,swimmingPool,swimmingPoolType,houseType,photo,latitude,longitude,geometry
2,https://www.pisos.com/alquilar/apartamento-alhaurin_el_grande_centro_urbano-29236512420_105600/,850.0,Apartamento en alquiler en Alhaurín El Grande,La Alquería-Torrealquería (Alhaurín de la Torre),84.0,,2.0,1.0,,,,,,,,,0,0,,0,1,,,https://fotos.imghs.net/l/1056/704/1056_BM169-R3790483-Rental_1_2022113016591231250.jpg,36.640267,-4.691149,POINT (-4.691149 36.640267)
1,https://www.pisos.com/alquilar/apartamento-golf_el_carralero28220-31721316781_109100/,1250.0,Apartamento en alquiler en Apartamento en Avda. Reyes Católicos de Majadahonda,Golf-El Carralero (Majadahonda),53.0,53.0,1.0,1.0,2.0,,,,,,,Con bomba de calor,1,1,Gas,0,1,,,https://fotos.imghs.net/l/1091/126/1091_263126_1_2023021923261531250.jpg,40.477324,-3.373763,POINT (-3.373763 40.477324)
1,https://www.pisos.com/alquilar/apartamento-moncloa_aravaca_arguelles28008-26751830947_519513/,1250.0,Apartamento en alquiler en Argüelles,Argüelles (Distrito Moncloa-Aravaca. Madrid Capital),76.0,76.0,1.0,1.0,4.0,Entre 30 y 50 años,Reformado,,,,,Frío y calor,1,0,,0,0,,,https://fotos.imghs.net/l/519513/26751830947.519513/519513_26751830947_1_20220829211905710.jpg,40.428298,-3.717766,POINT (-3.717766 40.428298)
1,https://www.pisos.com/alquilar/apartamento-moncloa_aravaca_arguelles28008-27572927268_519513/,1000.0,Apartamento en alquiler en Argüelles,Argüelles (Distrito Moncloa-Aravaca. Madrid Capital),68.0,68.0,1.0,1.0,1.0,Entre 30 y 50 años,A estrenar,,,,,Frío y calor,1,1,Eléctrica,0,0,,,https://fotos.imghs.net/l/519513/27572927268.519513/519513_27572927268_1_20220903084248996.jpg,40.428298,-3.717766,POINT (-3.717766 40.428298)
1,https://www.pisos.com/alquilar/apartamento-moncloa_aravaca_arguelles28008-27549276941_519513/,1075.0,Apartamento en alquiler en Argüelles,Argüelles (Distrito Moncloa-Aravaca. Madrid Capital),60.0,60.0,1.0,1.0,1.0,Entre 30 y 50 años,A estrenar,,,,,Frío y calor,1,1,Eléctrica,0,0,,,https://fotos.imghs.net/l/519513/27549276941.519513/519513_27549276941_9_20220903081850975.jpg,40.428298,-3.717766,POINT (-3.717766 40.428298)
2,https://www.pisos.com/alquilar/apartamento-parque_de_la_paloma29630-30898758580_100500/,700.0,Apartamento en alquiler en Arroyo de La Miel,Parque de la Paloma (Distrito Benalmádena Costa. Benalmádena),50.0,45.0,1.0,1.0,7.0,,,,Sureste,,,,1,0,,1,1,Comunitaria,,https://fotos.imghs.net/l/1005/735/1005_172854912735_1_2023012513011511701.jpg,36.597126,-4.533969,POINT (-4.533969 36.597126)
2,https://www.pisos.com/alquilar/apartamento-artola-29221662389_105600/,2200.0,Apartamento en alquiler en Artola,Artola (Benahavís),130.0,,2.0,3.0,0.0,,,,,,,,0,0,,0,0,,,https://fotos.imghs.net/l/1056/704/1056_BM148-R4184491-Rental_1_2022112316470831250.jpg,36.493726,-4.754296,POINT (-4.754296 36.493726)
2,https://www.pisos.com/alquilar/apartamento-artola-31710626404_105600/,1600.0,Apartamento en alquiler en Artola,Artola (Benahavís),101.0,,2.0,2.0,,,,,,,,,0,0,,0,1,,,https://fotos.imghs.net/l/1056/704/1056_BM174-R3230701-Rental_1_2023020917280731250.jpg,36.493726,-4.754296,POINT (-4.754296 36.493726)
2,https://www.pisos.com/alquilar/apartamento-caleta_de_velez_lagos29751-27521631608_103200/,770.0,Apartamento en alquiler en Avenida Andalucía,Caleta de Vélez-Lagos (Vélez-Málaga),65.0,,1.0,1.0,,,En buen estado,Compartido,Oeste,,,Instalación,1,1,Individual,1,0,,,https://fotos.imghs.net/l/1032/655/1032_IEN52-AN_Pirámides_2_Invierno_1_2022092404011331250.jpg,36.717188,-4.430006,POINT (-4.430006 36.717188)
2,https://www.pisos.com/alquilar/apartamento-cruz_de_humilladero_carranque29010-33373037029_990695/,780.0,"Apartamento en alquiler en Avenida Carlos de Haya, cerca de Calle de Argentea",Carranque (Distrito Cruz de Humilladero. Málaga Capital),55.0,50.0,1.0,1.0,6.0,,En buen estado,1,,,,Frío y calor,1,0,,0,0,,,https://fotos.imghs.net/l/990695/33373037029.990695/990695_33373037029_1_20230405141547178.jpg,36.72166,-4.444031,POINT (-4.444031 36.72166)
